topico,pais,seed,volume,prompts,eh_categoria,familia,estagio,categoria,marcas,marcas_nucleo,eh_branded,trend,int_informational,int_commercial,int_transactional,int_navigational,int_task
Fogões e Cooktops Rosa,br,fog_es_e_eletrodom_sticos_de_cozinha,382,15,1,produto e categoria,exploracao de categoria,coccao,,,0,51;92;100;84;78;59;70;47;48;98;59;60,0.42,0.3,0.11,0.04,0.13
Lâmpadas para Forno e Fogão,br,fog_es_e_eletrodom_sticos_de_cozinha,2483,28,1,produto e categoria,exploracao de categoria,coccao,,,0,32;45;46;46;74;77;77;100;93;93;92;91,0.52,0.23,0.17,0.05,0.03
Fogões Industriais com Forno,br,fog_es_e_eletrodom_sticos_de_cozinha,41586,40,1,produto e categoria,escolha,coccao,,,0,26;28;31;35;37;38;38;37;100;100;100;100,0.37,0.42,0.15,0.04,0.02
Fogões Smeg e Cooktops,br,fog_es_e_eletrodom_sticos_de_cozinha,179,15,1,produto e categoria,exploracao de categoria,coccao,,,0,33;36;39;99;100;43;42;53;49;47;49;47,0.44,0.18,0.23,0.12,0.03
Acendedores de fogão,br,fog_es_e_eletrodom_sticos_de_cozinha,1005,18,1,produto e categoria,exploracao de categoria,coccao,,,0,100;51;51;50;58;73;58;44;48;58;76;90,0.66,0.18,0.09,0.05,0.02
Fogões Antigos e Vintage,br,fog_es_e_eletrodom_sticos_de_cozinha,2198,16,0,produto e categoria,exploracao de categoria,sem categoria,,,0,60;84;87;87;88;95;95;100;100;100;99;98,0.58,0.3,0.08,0.01,0.03
Fogões e Cooktops 5 Bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,65411,122,1,especificacao de produto,escolha,coccao,,,0,25;25;26;31;100;100;100;43;34;34;34;34,0.41,0.39,0.13,0.04,0.03
Kit de Eletrodomésticos para Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,3225,19,1,produto e categoria,escolha,sem categoria,,,0,88;100;100;49;46;49;49;46;48;48;48;48,0.3,0.57,0.1,0.01,0.02
Fogões de mesa a gás inox,br,fog_es_e_eletrodom_sticos_de_cozinha,645,15,0,especificacao de produto,escolha,sem categoria,,,0,64;89;94;88;92;97;100;100;94;100;89;91,0.35,0.32,0.19,0.04,0.1
Fogões e Cooktops Franke,br,fog_es_e_eletrodom_sticos_de_cozinha,564,15,1,produto e categoria,exploracao de categoria,coccao,,,0,30;33;34;33;47;61;52;58;51;35;35;100,0.42,0.18,0.17,0.19,0.04
Fogões de embutir Electrolux,br,fog_es_e_eletrodom_sticos_de_cozinha,7839,27,0,produto e categoria,descoberta,sem categoria,electrolux,electrolux,1,95;97;100;45;45;46;46;40;43;43;44;44,0.37,0.13,0.23,0.25,0.02
Fogões Elétricos Elgin,br,fog_es_e_eletrodom_sticos_de_cozinha,530,21,0,produto e categoria,exploracao de categoria,sem categoria,elgin,,1,86;98;99;96;97;100;100;98;69;75;75;76,0.56,0.15,0.17,0.1,0.02
Fogões Electrolux 4–6 Bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,67279,161,0,especificacao de produto,escolha,sem categoria,electrolux,electrolux,1,61;60;63;78;100;100;100;84;89;89;89;89,0.44,0.21,0.22,0.1,0.03
Rei dos Fogões,br,fog_es_e_eletrodom_sticos_de_cozinha,376,16,0,produto e categoria,descoberta,sem categoria,,,0,35;47;84;66;77;49;31;100;47;50;35;38,0.39,0.17,0.06,0.36,0.02
Fogões Zema e Eletrozema,br,fog_es_e_eletrodom_sticos_de_cozinha,351,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,39;48;49;45;46;72;100;60;62;72;49;53,0.35,0.21,0.18,0.23,0.03
Panelas e Jogos Electrolux,br,fog_es_e_eletrodom_sticos_de_cozinha,2937,25,0,produto e categoria,descoberta,sem categoria,electrolux,electrolux,1,85;100;53;56;80;83;84;70;74;74;74;74,0.35,0.21,0.12,0.32,0
Cooktops e Fogões Cuisinart no Brasil,br,fog_es_e_eletrodom_sticos_de_cozinha,532,15,1,produto e categoria,descoberta,coccao,,,0,17;60;69;43;45;22;76;99;66;88;78;100,0.43,0.26,0.04,0.27,0
Pés de Fogão e Acessórios,br,fog_es_e_eletrodom_sticos_de_cozinha,1459,21,1,produto e categoria,exploracao de categoria,coccao,,,0,100;58;61;67;62;65;66;52;57;57;56;56,0.57,0.17,0.07,0.15,0.04
Fogões a lenha e a gás,br,fog_es_e_eletrodom_sticos_de_cozinha,1904,19,0,produto e categoria,exploracao de categoria,sem categoria,,,0,19;29;31;58;98;100;89;79;68;58;59;98,0.5,0.3,0.07,0.04,0.09
Fogões a gás 4 e 5 bocas no Brasil,br,fog_es_e_eletrodom_sticos_de_cozinha,519,15,0,especificacao de produto,escolha,sem categoria,,,0,16;53;63;31;29;50;68;85;64;83;75;100,0.44,0.18,0.25,0.1,0.03
Conserto de Fogões e Manutenção,br,fog_es_e_eletrodom_sticos_de_cozinha,6015,16,0,assistencia e conserto,posse,sem categoria,,,0,100;61;66;68;63;64;65;67;70;70;70;69,0.38,0.31,0.17,0.04,0.1
Bancada de Fogão e Cooktop,br,fog_es_e_eletrodom_sticos_de_cozinha,2496,19,1,produto e categoria,exploracao de categoria,coccao,,,0,49;68;69;66;55;58;59;93;100;100;95;94,0.61,0.21,0.06,0.1,0.02
Borges Eletrodomésticos,br,fog_es_e_eletrodom_sticos_de_cozinha,348,15,1,produto e categoria,descoberta,sem categoria,,,0,8;8;9;17;18;17;33;100;64;47;50;24,0.18,0.22,0.05,0.53,0.02
Bicos e Injetores para Fogões a Gás,br,fog_es_e_eletrodom_sticos_de_cozinha,3878,30,0,produto e categoria,exploracao de categoria,sem categoria,,,0,18;23;39;62;66;67;67;100;91;91;92;91,0.52,0.29,0.12,0.04,0.03
Fogões e Cooktops Chamalux,br,fog_es_e_eletrodom_sticos_de_cozinha,1896,21,1,produto e categoria,descoberta,coccao,,,0,38;52;58;48;51;51;51;100;82;84;91;97,0.28,0.26,0.13,0.31,0.02
Móveis e Utensílios de Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,140,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,7;62;100;28;28;15;26;68;75;28;26;28,0.61,0.18,0.11,0.03,0.07
Fogões Gazin,br,fog_es_e_eletrodom_sticos_de_cozinha,372,16,0,produto e categoria,descoberta,sem categoria,,,0,33;46;46;39;52;58;72;40;91;100;38;39,0.27,0.11,0.19,0.36,0.07
Cooktops e Fornos a Gás Brastemp,br,fog_es_e_eletrodom_sticos_de_cozinha,946,20,1,produto e categoria,exploracao de categoria,coccao,brastemp,brastemp,1,47;55;54;41;57;58;58;100;62;62;63;63,0.58,0.19,0.1,0.1,0.03
Panelas de Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,4918,25,0,produto e categoria,exploracao de categoria,sem categoria,,,0,40;51;49;69;92;94;92;96;98;98;100;99,0.62,0.27,0.07,0.02,0.02
Melhores Fogões e Marcas,br,fog_es_e_eletrodom_sticos_de_cozinha,17062,41,0,comparacao e modelo,escolha,sem categoria,,,0,25;30;28;44;63;64;64;100;100;100;100;100,0.37,0.48,0.1,0.03,0.02
Forno Embutido a Gás/Elétrico,br,fog_es_e_eletrodom_sticos_de_cozinha,60574,109,1,produto e categoria,exploracao de categoria,coccao,,,0,88;88;36;61;75;75;75;100;80;80;80;80,0.56,0.23,0.13,0.03,0.05
Cooktops Itatiaia,br,fog_es_e_eletrodom_sticos_de_cozinha,7689,31,1,produto e categoria,exploracao de categoria,coccao,,,0,94;100;48;51;54;55;56;61;62;62;62;62,0.35,0.31,0.1,0.22,0.02
Fogões Espelhados,br,fog_es_e_eletrodom_sticos_de_cozinha,1434,16,0,produto e categoria,exploracao de categoria,sem categoria,,,0,27;40;47;41;37;39;40;65;58;59;91;100,0.51,0.27,0.11,0.04,0.07
Exaustores para Fogões,br,fog_es_e_eletrodom_sticos_de_cozinha,641,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,66;96;100;98;78;80;85;86;87;82;87;87,0.57,0.28,0.07,0.05,0.03
Gastronomia e Equipamentos,br,fog_es_e_eletrodom_sticos_de_cozinha,330,16,0,produto e categoria,exploracao de categoria,sem categoria,,,0,83;99;99;90;87;99;100;86;73;84;83;73,0.5,0.31,0.04,0.07,0.08
Panelas e Caçarolas Antiaderentes,br,fog_es_e_eletrodom_sticos_de_cozinha,5040,26,0,produto e categoria,exploracao de categoria,sem categoria,,,0,67;76;77;41;98;100;100;74;73;73;72;71,0.44,0.3,0.1,0.14,0.02
Peças para Fogões Industriais,br,fog_es_e_eletrodom_sticos_de_cozinha,303,16,0,peca e filtro,posse,sem categoria,,,0,97;42;41;49;100;92;92;48;49;45;46;45,0.34,0.46,0.12,0.06,0.02
Forno Elétrico Progas,br,fog_es_e_eletrodom_sticos_de_cozinha,1517,22,1,produto e categoria,descoberta,coccao,,,0,83;93;94;48;43;47;46;100;71;72;94;100,0.47,0.13,0.09,0.31,0
Peças para Micro-ondas e Eletrodomésticos,br,fog_es_e_eletrodom_sticos_de_cozinha,4114,24,1,peca e filtro,posse,micro-ondas,,,0,23;33;40;55;98;100;100;73;61;61;62;62,0.42,0.28,0.16,0.04,0.1
Fogões usados no Brasil,br,fog_es_e_eletrodom_sticos_de_cozinha,2449,16,0,produto e categoria,escolha,sem categoria,,,0,66;96;100;97;85;92;93;96;97;97;93;91,0.35,0.28,0.22,0.08,0.07
Panelas e caldeiras industriais,br,fog_es_e_eletrodom_sticos_de_cozinha,896,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,90;100;100;55;59;61;62;63;50;50;51;51,0.66,0.22,0.05,0.02,0.05
Fogão de Embutir: Instalação e Acessórios,br,fog_es_e_eletrodom_sticos_de_cozinha,342,15,1,instalacao,posse,coccao,,,0,47;83;98;89;85;67;68;90;87;100;88;99,0.74,0.14,0.04,0.05,0.03
Fogões Campeiros,br,fog_es_e_eletrodom_sticos_de_cozinha,2046,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,35;49;51;49;47;48;50;52;73;80;88;100,0.5,0.2,0.16,0.11,0.03
Casa e Panelas,br,fog_es_e_eletrodom_sticos_de_cozinha,795,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,89;100;100;50;49;50;50;49;49;49;49;49,0.54,0.24,0.1,0.1,0.02
Fogões Invita,br,fog_es_e_eletrodom_sticos_de_cozinha,537,15,0,produto e categoria,exploracao de categoria,sem categoria,,,0,53;64;66;67;67;84;89;87;97;100;88;91,0.38,0.27,0.14,0.11,0.1
Cooktops e fogões a gás com 5 bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,1536,16,1,especificacao de produto,escolha,coccao,,,0,65;96;99;94;81;86;90;88;90;89;92;100,0.47,0.21,0.19,0.12,0.01
Fogões e Cooktops por Indução Fischer,br,fog_es_e_eletrodom_sticos_de_cozinha,4855,52,1,produto e categoria,escolha,coccao,fischer,,1,86;97;99;99;99;100;100;57;63;64;64;63,0.37,0.21,0.25,0.15,0.02
Fogões industriais e semi-industriais,br,fog_es_e_eletrodom_sticos_de_cozinha,1038,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,88;100;53;63;52;54;58;52;54;54;49;49,0.5,0.3,0.08,0.07,0.05
Panelas elétricas Electrolux,br,fog_es_e_eletrodom_sticos_de_cozinha,19175,71,0,produto e categoria,exploracao de categoria,sem categoria,electrolux,electrolux,1,34;37;42;65;100;100;100;72;56;56;56;56,0.44,0.16,0.21,0.15,0.04
Fogões vitrocerâmicos,br,fog_es_e_eletrodom_sticos_de_cozinha,5893,33,0,produto e categoria,exploracao de categoria,sem categoria,,,0,16;20;20;42;65;66;67;100;94;95;92;92,0.56,0.31,0.06,0.04,0.03
Fogão a Lenha,br,fog_es_e_eletrodom_sticos_de_cozinha,1852,18,1,produto e categoria,exploracao de categoria,coccao,,,0,42;49;49;34;42;43;40;42;40;40;40;100,0.6,0.12,0.21,0.05,0.02
Fun Kitchen: Panelas Elétricas e Utensílios,br,fog_es_e_eletrodom_sticos_de_cozinha,6040,29,0,produto e categoria,exploracao de categoria,sem categoria,,,0,44;23;24;45;70;71;71;100;84;86;80;80,0.54,0.26,0.11,0.06,0.03
Cooktops de 2 bocas (indução/elétrico),br,fog_es_e_eletrodom_sticos_de_cozinha,22461,46,1,especificacao de produto,escolha,coccao,,,0,95;98;100;44;66;66;66;83;68;68;68;68,0.48,0.39,0.06,0.02,0.05
Fogões de Inox 4 Bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,3475,22,0,especificacao de produto,escolha,sem categoria,,,0,75;99;100;95;90;92;93;87;89;88;90;90,0.3,0.47,0.11,0.05,0.07
Acessórios para Fogões 4 Bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,1599,20,0,especificacao de produto,escolha,sem categoria,,,0,36;47;50;44;56;59;53;100;93;88;86;99,0.3,0.46,0.2,0.02,0.02
Fogão Continental - Peças e Reposição,br,fog_es_e_eletrodom_sticos_de_cozinha,893,18,1,peca e filtro,posse,coccao,continental,,1,65;75;49;69;82;83;82;79;79;100;97;83,0.46,0.3,0.1,0.12,0.02
Eletrodomésticos Vintage/Retro,br,fog_es_e_eletrodom_sticos_de_cozinha,557,15,1,produto e categoria,escolha,sem categoria,,,0,54;76;81;75;83;95;93;97;100;100;100;99,0.41,0.34,0.11,0.11,0.03
Fogões Electrolux 4 Bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,3790,25,0,especificacao de produto,escolha,sem categoria,electrolux,electrolux,1,90;98;100;49;43;44;44;43;46;48;46;48,0.57,0.12,0.09,0.2,0.02
Coifas e Depuradores de Fogão,br,fog_es_e_eletrodom_sticos_de_cozinha,10974,53,1,produto e categoria,exploracao de categoria,coccao,,,0,73;80;86;94;99;100;100;89;91;91;91;91,0.69,0.16,0.03,0.1,0.02
Cozinhas Profissionais e Industriais,br,fog_es_e_eletrodom_sticos_de_cozinha,591,15,0,produto e categoria,escolha,sem categoria,,,0,46;48;49;46;98;100;99;98;98;98;98;98,0.32,0.41,0.08,0.14,0.05
Fogões Colombo,br,fog_es_e_eletrodom_sticos_de_cozinha,521,17,0,produto e categoria,descoberta,sem categoria,,,0,38;52;54;48;47;51;50;100;68;86;57;64,0.26,0.11,0.21,0.39,0.03
Fogão de Minas Gerais,br,fog_es_e_eletrodom_sticos_de_cozinha,1402,15,1,produto e categoria,exploracao de categoria,coccao,,,0,62;77;78;76;81;88;87;80;53;61;98;100,0.64,0.14,0.08,0.12,0.02
Móveis e suportes para cooktop,br,fog_es_e_eletrodom_sticos_de_cozinha,6056,15,1,garantia e suporte,posse,coccao,,,0,82;93;100;100;90;92;93;92;94;93;95;93,0.52,0.28,0.06,0.04,0.1
Conjunto Cooktop com Balcão e Armários,br,fog_es_e_eletrodom_sticos_de_cozinha,24141,41,1,produto e categoria,exploracao de categoria,coccao,,,0,100;99;100;99;96;96;96;35;36;36;36;36,0.45,0.28,0.14,0.05,0.08
Fogões Venax Embutidos,br,fog_es_e_eletrodom_sticos_de_cozinha,1286,16,0,produto e categoria,descoberta,sem categoria,,,0,54;73;76;68;64;68;69;92;95;100;71;70,0.26,0.05,0.2,0.46,0.03
Forno Elétrico Black & Decker,br,fog_es_e_eletrodom_sticos_de_cozinha,723,18,1,produto e categoria,descoberta,coccao,,,0,63;85;82;75;79;83;84;100;85;86;76;75,0.27,0.08,0.16,0.42,0.07
panelas de cozinha e casa,br,fog_es_e_eletrodom_sticos_de_cozinha,982,16,0,produto e categoria,descoberta,sem categoria,,,0,25;40;53;48;46;35;51;55;52;78;79;100,0.38,0.2,0.13,0.26,0.03
central fogões,br,fog_es_e_eletrodom_sticos_de_cozinha,970,15,0,produto e categoria,descoberta,sem categoria,,,0,11;34;44;39;34;48;64;57;46;33;29;100,0.18,0.23,0.09,0.47,0.03
Coifas e Depuradores Electrolux,br,fog_es_e_eletrodom_sticos_de_cozinha,7894,39,1,produto e categoria,descoberta,coccao,electrolux,electrolux,1,92;97;100;47;46;47;48;49;48;48;48;49,0.34,0.22,0.14,0.26,0.04
Rangetop e fogões embutidos,br,fog_es_e_eletrodom_sticos_de_cozinha,1703,16,0,produto e categoria,escolha,sem categoria,,,0,83;99;100;97;95;98;100;56;58;58;58;57,0.41,0.37,0.08,0.09,0.05
Fogões e fornos industriais Metalmaq,br,fog_es_e_eletrodom_sticos_de_cozinha,707,16,1,produto e categoria,descoberta,coccao,,,0,55;80;83;77;75;81;80;79;85;85;100;98,0.24,0.18,0.11,0.44,0.03
Fogões de Embutir 6 Bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,1139,15,0,especificacao de produto,escolha,sem categoria,,,0,70;96;97;88;85;90;90;100;92;90;87;87,0.44,0.27,0.15,0.04,0.1
Fogatti fornos elétricos,br,fog_es_e_eletrodom_sticos_de_cozinha,1879,25,1,produto e categoria,exploracao de categoria,coccao,,,0,60;70;38;41;100;99;99;95;90;93;89;89,0.44,0.23,0.1,0.23,0
Fogões e cooktops brancos,br,fog_es_e_eletrodom_sticos_de_cozinha,1290,15,1,produto e categoria,exploracao de categoria,coccao,,,0,63;97;100;88;83;82;82;92;82;82;79;79,0.56,0.25,0.11,0.05,0.03
Grelhas e Trempes de Fogão,br,fog_es_e_eletrodom_sticos_de_cozinha,5181,27,1,produto e categoria,exploracao de categoria,coccao,,,0,21;27;31;36;99;100;100;67;62;62;62;62,0.62,0.23,0.09,0.04,0.02
Fogões de Brinquedo Infantis,br,fog_es_e_eletrodom_sticos_de_cozinha,2776,16,0,produto e categoria,exploracao de categoria,sem categoria,,,0,73;98;100;97;81;87;90;81;88;94;85;84,0.55,0.25,0.12,0.05,0.03
Cozinha com fogão e pia embutidos,br,fog_es_e_eletrodom_sticos_de_cozinha,2932,21,1,produto e categoria,exploracao de categoria,coccao,,,0,64;83;85;85;94;99;100;77;73;73;81;82,0.7,0.23,0.03,0.04,0
Chaminés e componentes para fogão a lenha,br,fog_es_e_eletrodom_sticos_de_cozinha,4551,23,1,peca e filtro,posse,coccao,,,0,19;25;34;45;100;100;100;61;60;60;60;60,0.59,0.21,0.15,0.02,0.03
Móveis para micro-ondas e forno,br,fog_es_e_eletrodom_sticos_de_cozinha,11873,34,1,produto e categoria,exploracao de categoria,coccao,,,0,93;95;100;97;92;92;92;84;84;84;84;84,0.57,0.27,0.05,0.09,0.02
Panelas e frigideiras de ferro fundido,br,fog_es_e_eletrodom_sticos_de_cozinha,422,18,0,defeito e problema,posse,sem categoria,,,0,86;94;95;96;91;93;97;100;60;69;68;68,0.38,0.47,0.09,0.04,0.02
Fogões e Cooktops Inox 5 Bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,1370,16,1,especificacao de produto,escolha,coccao,,,0,85;100;59;57;59;62;63;67;67;67;66;66,0.31,0.47,0.15,0.02,0.05
Cozinha Profissional e Utensílios Industriais,br,fog_es_e_eletrodom_sticos_de_cozinha,422,17,0,produto e categoria,escolha,sem categoria,,,0,88;96;100;63;82;84;83;64;89;81;84;86,0.25,0.58,0.1,0.02,0.05
Fogões Brastemp com forno,br,fog_es_e_eletrodom_sticos_de_cozinha,321,16,1,produto e categoria,exploracao de categoria,coccao,brastemp,brastemp,1,65;79;85;100;100;100;98;44;44;64;54;63,0.63,0.15,0.15,0.05,0.02
Fogões e eletrodomésticos com retirada na loja,br,fog_es_e_eletrodom_sticos_de_cozinha,776,17,1,marca e loja,descoberta,sem categoria,,,0,8;13;12;10;10;22;27;64;48;100;39;43,0.45,0.24,0.15,0.09,0.07
Fogões 4 bocas e promoções no Brasil,br,fog_es_e_eletrodom_sticos_de_cozinha,233534,242,0,especificacao de produto,escolha,sem categoria,,,0,32;30;100;33;42;42;42;45;44;44;44;44,0.28,0.47,0.17,0.06,0.02
Coifas Elettromec para Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,263,15,1,produto e categoria,descoberta,coccao,,,0,51;59;58;57;56;59;60;54;88;100;53;53,0.21,0.16,0.2,0.4,0.03
Marmiteiros e Equipamentos de Cozinha Industrial,br,fog_es_e_eletrodom_sticos_de_cozinha,535,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,60;73;74;71;74;95;94;89;99;100;86;85,0.43,0.38,0.05,0.04,0.1
Eletrocalhas e acessórios,br,fog_es_e_eletrodom_sticos_de_cozinha,7465,26,0,produto e categoria,exploracao de categoria,sem categoria,,,0,17;22;24;100;44;45;45;39;39;39;39;39,0.67,0.17,0.09,0.05,0.02
Potência e consumo de eletrodomésticos,br,fog_es_e_eletrodom_sticos_de_cozinha,16263,58,1,consumo e energia,posse,sem categoria,,,0,63;72;81;99;99;100;100;97;96;96;96;96,0.69,0.16,0.08,0.05,0.02
Utilita Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,177,15,0,produto e categoria,descoberta,sem categoria,,,0,20;100;100;31;34;36;33;32;28;84;99;31,0.28,0.2,0.05,0.4,0.07
Fogões BH: conserto e peças,br,fog_es_e_eletrodom_sticos_de_cozinha,1200,15,0,assistencia e conserto,posse,sem categoria,,,0,100;55;54;51;52;55;55;54;54;54;53;52,0.63,0.18,0.04,0.15,0
Fogões Esmaltec,br,fog_es_e_eletrodom_sticos_de_cozinha,13583,42,0,produto e categoria,exploracao de categoria,sem categoria,esmaltec,,1,97;98;100;43;41;41;41;42;46;47;46;46,0.47,0.23,0.11,0.16,0.03
Electrolux Fogões: Instalação e Conversão,br,fog_es_e_eletrodom_sticos_de_cozinha,1234,22,0,instalacao,posse,sem categoria,electrolux,electrolux,1,45;47;58;64;84;84;84;100;80;81;81;81,0.68,0.09,0.04,0.07,0.12
Botões de fogão e forno Electrolux,br,fog_es_e_eletrodom_sticos_de_cozinha,2674,30,1,produto e categoria,exploracao de categoria,coccao,electrolux,electrolux,1,54;62;64;62;67;68;68;100;77;76;77;76,0.6,0.18,0.1,0.1,0.02
Fogões e Fornos a Lenha Inox,br,fog_es_e_eletrodom_sticos_de_cozinha,118,15,1,especificacao de produto,escolha,coccao,,,0,18;20;22;19;32;33;31;39;33;100;24;24,0.54,0.27,0.04,0.08,0.07
Registros e peças para fogões industriais,br,fog_es_e_eletrodom_sticos_de_cozinha,2079,23,0,peca e filtro,posse,sem categoria,,,0,31;39;39;49;99;100;100;91;93;93;93;92,0.53,0.3,0.11,0.04,0.02
Panelas e jogos de panelas,br,fog_es_e_eletrodom_sticos_de_cozinha,1207,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,100;49;63;67;64;67;67;69;70;70;66;66,0.54,0.23,0.11,0.07,0.05
Fogões no Ponto Frio,br,fog_es_e_eletrodom_sticos_de_cozinha,1456,15,0,produto e categoria,descoberta,sem categoria,,,0,65;93;92;87;87;93;97;100;96;98;94;92,0.24,0.09,0.13,0.51,0.03
Fogão com grill e churrasqueira,br,fog_es_e_eletrodom_sticos_de_cozinha,7853,30,1,produto e categoria,exploracao de categoria,coccao,,,0,24;32;33;52;97;98;99;100;100;100;100;100,0.62,0.21,0.11,0.04,0.02
Eletro e Móveis no Brasil,br,fog_es_e_eletrodom_sticos_de_cozinha,475,15,0,produto e categoria,descoberta,sem categoria,,,0,23;44;77;34;37;57;63;100;96;100;89;70,0.45,0.25,0.05,0.25,0
Cooktops e Induções Electrolux,br,fog_es_e_eletrodom_sticos_de_cozinha,1214,19,1,produto e categoria,descoberta,coccao,electrolux,electrolux,1,32;33;36;36;41;55;45;83;62;64;90;100,0.44,0.16,0.08,0.3,0.02
Placas de Indução e Fogões,br,fog_es_e_eletrodom_sticos_de_cozinha,942,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,44;51;43;76;74;74;74;96;86;89;78;100,0.58,0.24,0.09,0.04,0.05
Casa e Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,1155,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,37;64;74;72;72;77;77;82;84;88;100;100,0.53,0.29,0.11,0.04,0.03
Coifas e Exaustores de Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,839,18,1,produto e categoria,descoberta,coccao,,,0,83;93;99;89;86;87;89;100;74;74;68;67,0.4,0.3,0.02,0.28,0
Fogão Continental Brasil (4/6 bocas),br,fog_es_e_eletrodom_sticos_de_cozinha,4616,19,1,especificacao de produto,escolha,coccao,continental,,1,92;98;100;100;42;43;43;43;44;44;45;44,0.49,0.28,0.09,0.09,0.05
Fogões de vidro,br,fog_es_e_eletrodom_sticos_de_cozinha,4988,29,0,produto e categoria,exploracao de categoria,sem categoria,,,0,66;81;86;96;97;100;100;87;91;91;90;90,0.55,0.22,0.1,0.05,0.08
Cozinha com Cooktop,br,fog_es_e_eletrodom_sticos_de_cozinha,7793,22,1,produto e categoria,exploracao de categoria,coccao,,,0,93;97;100;45;46;46;47;46;41;41;41;41,0.68,0.14,0.08,0.05,0.05
Fogões a diesel,br,fog_es_e_eletrodom_sticos_de_cozinha,648,18,0,produto e categoria,exploracao de categoria,sem categoria,,,0,84;100;98;87;84;85;85;41;42;35;36;63,0.66,0.16,0.14,0.02,0.02
Panelas elétricas Philco,br,fog_es_e_eletrodom_sticos_de_cozinha,5209,30,0,produto e categoria,exploracao de categoria,sem categoria,philco,,1,95;100;48;48;46;47;47;50;50;50;50;49,0.54,0.16,0.23,0.06,0.01
Coifas e Depuradores de Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,86718,88,1,produto e categoria,exploracao de categoria,coccao,,,0,23;26;28;86;90;90;90;100;100;100;100;100,0.57,0.22,0.08,0.09,0.04
Misteiras e Eletrodomésticos,br,fog_es_e_eletrodom_sticos_de_cozinha,4024,16,1,produto e categoria,exploracao de categoria,sem categoria,,,0,64;90;96;96;94;96;98;98;100;100;100;99,0.45,0.3,0.07,0.11,0.07
Fogões Novo Mundo,br,fog_es_e_eletrodom_sticos_de_cozinha,288,17,0,produto e categoria,descoberta,sem categoria,,,0,10;24;31;20;19;24;19;100;68;20;19;20,0.24,0.11,0.17,0.47,0.01
Panelas elétricas quadradas,br,fog_es_e_eletrodom_sticos_de_cozinha,545,17,0,produto e categoria,escolha,sem categoria,,,0,77;99;98;95;94;100;100;90;96;96;89;88,0.27,0.35,0.26,0.05,0.07
Cozinha: fogão e geladeira,br,fog_es_e_eletrodom_sticos_de_cozinha,4756,31,1,produto e categoria,exploracao de categoria,geladeira,,,0,85;93;94;95;96;97;98;89;100;100;100;100,0.71,0.14,0.08,0.05,0.02
Cozinha Completa e Móveis de Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,11969,25,0,produto e categoria,escolha,sem categoria,,,0,90;94;100;93;90;90;91;90;90;90;90;90,0.39,0.37,0.13,0.06,0.05
Fogões industriais 2 bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,5329,23,0,especificacao de produto,escolha,sem categoria,,,0,93;98;100;99;42;43;43;42;41;42;42;41,0.56,0.23,0.04,0.05,0.12
Fogões Bosch 4 e 5 bocas,br,fog_es_e_eletrodom_sticos_de_cozinha,1895,22,0,especificacao de produto,escolha,sem categoria,,,0,84;98;100;96;43;47;48;54;63;80;60;58,0.46,0.39,0.09,0.04,0.02
Exaustores de Cozinha,br,fog_es_e_eletrodom_sticos_de_cozinha,18863,54,0,produto e categoria,exploracao de categoria,sem categoria,,,0,16;17;19;87;100;100;100;97;28;28;28;28,0.51,0.19,0.2,0.05,0.05
Fogões Industriais Dako,br,fog_es_e_eletrodom_sticos_de_cozinha,3199,26,0,produto e categoria,descoberta,sem categoria,,,0,87;98;100;49;51;51;52;48;47;46;45;45,0.26,0.1,0.31,0.33,0
Fogões Electrolux com grill,br,fog_es_e_eletrodom_sticos_de_cozinha,507,18,0,produto e categoria,exploracao de categoria,sem categoria,electrolux,electrolux,1,54;78;72;59;59;90;93;100;90;75;76;75,0.6,0.15,0.11,0.1,0.04
