topico,pais,seed,volume,prompts,eh_categoria,familia,estagio,categoria,marcas,marcas_nucleo,eh_branded,trend,int_informational,int_commercial,int_transactional,int_navigational,int_task
Air Fryer no Black Friday,br,air_fryers,3222,17,1,preco e compra,escolha,air fryer,,,0,33;42;48;50;46;46;54;86;86;91;100;96,0.41,0.42,0.14,0.01,0.02
Air Fryer Vintage e Retro,br,air_fryers,671,16,1,produto e categoria,exploracao de categoria,air fryer,,,0,44;58;60;60;69;73;73;100;99;87;87;85,0.52,0.22,0.22,0.01,0.03
Airfryer em Português,br,air_fryers,7309,32,1,produto e categoria,exploracao de categoria,air fryer,,,0,78;77;80;93;77;76;76;97;100;100;100;100,0.71,0.12,0.05,0.1,0.02
Air fryers com duas gavetas,br,air_fryers,1173,18,1,produto e categoria,exploracao de categoria,air fryer,,,0,84;100;100;96;95;98;99;46;48;47;47;47,0.64,0.22,0.1,0.02,0.02
Microondas com Airfryer,br,air_fryers,6606,41,1,produto e categoria,exploracao de categoria,air fryer,,,0,21;29;29;35;99;100;100;64;71;72;72;70,0.53,0.32,0.09,0.04,0.02
Air fryer e grill Philips Walita,br,air_fryers,1286,19,1,produto e categoria,exploracao de categoria,air fryer,,,0,26;32;33;42;100;100;100;55;90;90;91;90,0.56,0.23,0.04,0.15,0.02
Empadas fitness na air fryer,br,air_fryers,1819,20,1,produto e categoria,exploracao de categoria,air fryer,,,0,72;82;81;78;60;61;62;71;99;100;100;100,0.75,0.08,0.02,0.05,0.1
Air Fryer Steak Recipes,br,air_fryers,1850,18,1,produto e categoria,exploracao de categoria,air fryer,,,0,17;18;19;36;41;41;42;100;100;100;100;99,0.68,0.1,0.08,0.09,0.05
Airfryer Multilaser,br,air_fryers,2736,24,1,produto e categoria,exploracao de categoria,air fryer,,,0,58;67;45;42;55;56;54;100;84;84;86;86,0.63,0.22,0.08,0.05,0.02
Airfryer: vídeos e dicas,br,air_fryers,952,20,1,produto e categoria,exploracao de categoria,air fryer,,,0,29;31;39;86;86;88;88;100;62;61;61;60,0.72,0.04,0.03,0.13,0.08
Air Fryers 5 Litros,br,air_fryers,4670,35,1,especificacao de produto,escolha,air fryer,,,0,55;60;62;28;100;100;100;25;28;28;28;28,0.49,0.31,0.13,0.05,0.02
Airfryer 4 litros,br,air_fryers,4320,30,1,especificacao de produto,escolha,air fryer,,,0,55;76;80;79;78;83;83;89;100;100;100;99,0.56,0.28,0.12,0.02,0.02
Air Fryer e Liquidificador no Brasil,br,air_fryers,1366,18,1,produto e categoria,exploracao de categoria,air fryer,,,0,76;89;91;88;85;87;89;100;47;47;47;47,0.42,0.14,0.3,0.09,0.05
Air Fryer Vermelha,br,air_fryers,1571,17,1,produto e categoria,escolha,air fryer,,,0,69;97;100;96;76;81;84;71;79;79;79;78,0.41,0.32,0.13,0.11,0.03
Churrasco na Air Fryer,br,air_fryers,7733,27,1,produto e categoria,exploracao de categoria,air fryer,,,0,19;23;24;77;22;23;24;96;100;100;100;100,0.77,0.05,0.08,0.05,0.05
Assadeiras para airfryer,br,air_fryers,481,19,1,produto e categoria,escolha,air fryer,,,0,53;59;58;57;97;100;99;45;56;41;41;44,0.42,0.38,0.14,0.01,0.05
Airfryer de Brinquedo,br,air_fryers,183,15,1,produto e categoria,exploracao de categoria,air fryer,,,0,52;100;98;75;84;95;77;100;82;45;46;46,0.56,0.16,0.17,0.08,0.03
Nichos e prateleiras para air fryer,br,air_fryers,190,15,1,peca e filtro,posse,air fryer,,,0,22;78;100;75;75;69;23;76;80;77;60;69,0.61,0.14,0.05,0.03,0.17
Frango na Airfryer,br,air_fryers,40991,96,1,produto e categoria,exploracao de categoria,air fryer,,,0,34;35;39;45;60;61;61;92;100;100;100;100,0.73,0.05,0.02,0.03,0.17
Air Fryers com visor,br,air_fryers,570,16,1,produto e categoria,exploracao de categoria,air fryer,,,0,37;79;100;54;52;64;70;79;68;62;54;60,0.64,0.15,0.09,0.05,0.07
Air Fryers Britânia no Brasil,br,air_fryers,260,17,1,produto e categoria,exploracao de categoria,air fryer,britania,,1,34;40;44;44;47;45;100;52;59;75;79;81,0.53,0.23,0.13,0.08,0.03
Airfryers Polishop e marcas,br,air_fryers,3734,20,1,produto e categoria,exploracao de categoria,air fryer,,,0,87;99;100;52;49;49;50;50;52;52;52;51,0.45,0.2,0.15,0.17,0.03
Nuggets na Airfryer,br,air_fryers,6984,37,1,produto e categoria,exploracao de categoria,air fryer,,,0,63;67;85;85;86;87;87;95;100;100;100;100,0.73,0.08,0.02,0.05,0.12
Airfryer no Carrefour,br,air_fryers,1123,16,1,produto e categoria,descoberta,air fryer,,,0,58;100;95;88;69;71;66;89;39;40;39;41,0.44,0.1,0.15,0.29,0.02
Fritadeiras Air Fryer 15L (Sem Óleo),br,air_fryers,1126,18,1,produto e categoria,exploracao de categoria,air fryer,,,0,25;44;52;42;50;48;58;100;76;85;75;79,0.48,0.26,0.15,0.01,0.1
Frying Pans & Skillets,br,air_fryers,5261,27,0,produto e categoria,exploracao de categoria,sem categoria,,,0,31;34;40;46;67;68;70;85;100;100;100;100,0.55,0.26,0.12,0.05,0.02
Fritadeiras elétricas no Brasil,br,air_fryers,2482,16,1,produto e categoria,exploracao de categoria,air fryer,,,0,85;99;100;49;50;53;54;49;46;46;46;46,0.51,0.2,0.13,0.13,0.03
Toasters,br,air_fryers,2311,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,23;24;24;25;28;28;37;100;100;98;98;99,0.48,0.34,0.09,0.04,0.05
Fritadeiras AirFama,br,air_fryers,615,16,1,produto e categoria,exploracao de categoria,air fryer,,,0,73;99;100;97;74;79;80;69;70;78;78;94,0.53,0.27,0.08,0.11,0.01
Acessórios para Air Fryer,br,air_fryers,3808,22,1,produto e categoria,escolha,air fryer,,,0,47;54;39;56;81;82;83;100;91;91;92;91,0.36,0.43,0.15,0.01,0.05
fornos com air fryer Fischer,br,air_fryers,201,17,1,produto e categoria,exploracao de categoria,coccao,fischer,,1,32;44;43;47;48;46;45;90;100;54;52;53,0.47,0.21,0.18,0.11,0.03
KitchenAid Appliances,br,air_fryers,155,15,0,produto e categoria,descoberta,sem categoria,,,0,33;37;40;100;98;81;37;48;47;54;51;51,0.28,0.17,0.19,0.33,0.03
Rice Cookers,br,air_fryers,656,17,0,produto e categoria,escolha,sem categoria,,,0,47;53;54;37;51;66;63;100;54;36;36;50,0.25,0.49,0.18,0.06,0.02
Forno Brastemp com Air Fryer,br,air_fryers,397,17,1,produto e categoria,exploracao de categoria,coccao,brastemp,brastemp,1,41;65;70;59;55;57;56;100;52;55;82;86,0.46,0.2,0.19,0.12,0.03
Pastel na Airfryer,br,air_fryers,47083,62,1,produto e categoria,exploracao de categoria,air fryer,,,0,17;19;20;28;36;36;36;100;100;100;100;100,0.76,0.06,0.02,0.03,0.13
Bolos na Airfryer,br,air_fryers,92901,112,1,produto e categoria,exploracao de categoria,air fryer,,,0,16;18;34;40;61;61;61;100;100;100;100;100,0.73,0.12,0.06,0.02,0.07
Air Fryer: Receitas e Usos,br,air_fryers,189428,354,1,uso e receita,posse,air fryer,,,0,87;87;87;91;95;95;95;99;100;100;100;100,0.76,0.11,0.05,0.05,0.03
Grelhas e acessórios para airfryer,br,air_fryers,906,18,1,produto e categoria,escolha,air fryer,,,0,47;53;55;92;97;100;92;96;73;73;73;73,0.39,0.46,0.13,0.02,0
Suportes para airfryer,br,air_fryers,472,16,1,garantia e suporte,posse,air fryer,,,0,24;29;30;29;30;32;29;100;90;43;42;40,0.57,0.26,0.11,0.01,0.05
Air Fryer 5 Litros Branca,br,air_fryers,602,16,1,especificacao de produto,escolha,air fryer,,,0,34;48;51;48;86;88;81;100;92;74;80;84,0.49,0.25,0.12,0.11,0.03
Bandejas para Air Fryer,br,air_fryers,446,16,1,produto e categoria,escolha,air fryer,,,0,42;52;52;51;47;54;69;100;86;58;57;58,0.49,0.33,0.14,0.01,0.03
French Fries (Fries),br,air_fryers,13718,24,0,produto e categoria,exploracao de categoria,sem categoria,,,0,76;79;80;81;99;100;100;89;88;88;88;88,0.59,0.15,0.16,0.08,0.02
Forno e air fryer Kitchenaid,br,air_fryers,725,19,1,produto e categoria,exploracao de categoria,coccao,,,0,84;94;94;95;90;92;100;92;73;71;73;72,0.44,0.36,0.09,0.03,0.08
Pudim na Air Fryer,br,air_fryers,6050,20,1,produto e categoria,exploracao de categoria,air fryer,,,0,89;97;100;95;43;44;44;50;48;48;49;48,0.83,0.05,0.05,0.05,0.02
Receitas na AirFryer,br,air_fryers,2190,27,1,uso e receita,posse,air fryer,,,0,57;62;62;68;67;68;68;35;70;68;100;80,0.8,0.08,0.05,0.02,0.05
Batata na Airfryer,br,air_fryers,181112,194,1,produto e categoria,exploracao de categoria,air fryer,,,0,19;19;21;25;32;32;32;80;100;100;100;100,0.8,0.05,0,0.03,0.12
Fritadeiras Arno e Air Fryer,br,air_fryers,5704,29,1,produto e categoria,exploracao de categoria,air fryer,arno,,1,85;97;100;53;55;57;57;58;59;59;60;59,0.51,0.3,0.13,0.03,0.03
Cestos para Air Fryer,br,air_fryers,2367,22,1,peca e filtro,posse,air fryer,,,0,85;100;100;54;75;78;80;65;75;75;74;73,0.54,0.31,0.08,0.03,0.04
Forno Air Fryer 25 Litros,br,air_fryers,207,15,1,especificacao de produto,escolha,coccao,,,0,16;21;23;22;22;20;40;100;72;20;19;19,0.35,0.2,0.26,0.09,0.1
Fritadeiras Air Fryer em Home Land,br,air_fryers,6769,24,1,produto e categoria,descoberta,air fryer,,,0,20;29;32;44;77;78;78;95;100;100;100;100,0.38,0.18,0.1,0.32,0.02
Air Fryers com Alexa,br,air_fryers,811,17,1,produto e categoria,exploracao de categoria,air fryer,,,0,19;21;27;18;19;19;18;100;72;62;62;62,0.73,0.17,0.03,0.07,0
Air Fryer Mundial Acessórios,br,air_fryers,3575,24,1,produto e categoria,exploracao de categoria,air fryer,,,0,61;82;86;87;95;100;100;93;96;96;93;92,0.49,0.31,0.11,0.04,0.05
Air Fryer de Vidro,br,air_fryers,4979,27,1,produto e categoria,exploracao de categoria,air fryer,,,0,84;93;92;95;98;100;100;93;97;97;98;98,0.6,0.17,0.1,0.05,0.08
Fritadeiras Digitais,br,air_fryers,1323,16,1,produto e categoria,exploracao de categoria,air fryer,,,0,61;86;91;85;87;93;94;100;91;91;91;89,0.5,0.32,0.1,0.01,0.07
Bife na Air Fryer,br,air_fryers,6094,29,1,produto e categoria,exploracao de categoria,air fryer,,,0,83;94;95;53;55;58;59;90;99;99;100;100,0.82,0.06,0.05,0.02,0.05
Formas e acessórios para air fryer,br,air_fryers,856,17,1,produto e categoria,exploracao de categoria,air fryer,,,0,27;32;52;73;94;100;100;69;59;66;66;65,0.49,0.32,0.1,0.01,0.08
Rabanadas na Airfryer,br,air_fryers,1757,15,1,produto e categoria,exploracao de categoria,air fryer,,,0,81;93;95;94;97;100;100;38;38;42;39;38,0.79,0.08,0.09,0.02,0.02
