name,prompts_count,volume,volume_trend,intents
Liquidificadores industriais 4 litros,18,1197,69;98;100;87;78;84;86;80;76;76;75;76,task:10;informational:43;navigational:1;commercial:30;transactional:16
Empadão de Liquidificador,16,1665,86;99;98;99;96;100;100;48;58;64;60;58,task:12;informational:76;navigational:5;commercial:6;transactional:1
Coqueteleiras e Liquidificadores,18,630,69;100;100;97;91;93;91;98;97;94;91;91,task:3;informational:49;navigational:4;commercial:33;transactional:11
Liquidificadores 700W,15,429,72;97;98;94;84;88;94;89;85;89;100;100,task:7;informational:38;navigational:8;commercial:32;transactional:15
Liquidificadores Carrefour,18,1697,28;46;53;43;41;43;36;86;70;61;56;100,task:3;informational:21;navigational:41;commercial:11;transactional:24
Liquidificadores Britânia,22,5305,92;98;100;48;46;47;47;46;56;56;57;56,task:2;informational:36;navigational:16;commercial:24;transactional:22
Liquidificadores com Jarra de Vidro,18,281,34;54;65;38;44;45;77;100;59;43;41;56,task:7;informational:52;navigational:1;commercial:38;transactional:2
Liquidificadores Mallory MasterChef,17,320,45;51;52;51;51;52;50;52;37;94;100;38,task:5;informational:38;navigational:10;commercial:22;transactional:25
Copos de Liquidificador,19,4145,69;91;96;96;95;96;97;96;100;100;100;99,informational:45;navigational:4;commercial:34;transactional:17
Liquidificadores 1200W,15,902,28;48;53;47;44;44;55;100;72;79;86;73,task:7;informational:32;navigational:11;commercial:36;transactional:14
Conserto de Liquidificadores,16,816,89;100;100;73;75;77;77;65;77;77;79;79,task:3;informational:64;navigational:6;commercial:19;transactional:8
Liquidificadores Tigre Cook,15,372,17;21;23;35;30;28;17;100;76;57;53;53,task:5;informational:51;navigational:10;commercial:10;transactional:24
Liquidificadores Arno Magiclean,15,325,39;48;50;46;45;48;55;100;95;47;47;49,task:3;informational:30;navigational:36;commercial:27;transactional:4
Liquidificadores Oster e Polishop,17,340,33;39;41;39;78;77;100;49;47;74;61;72,task:10;informational:42;navigational:3;commercial:15;transactional:30
Liquidificadores Vermelhos 220V,16,1053,33;59;75;61;55;100;59;85;80;73;73;84,task:4;informational:29;navigational:1;commercial:44;transactional:22
Kits de Liquidificador e Batedeira,25,5226,93;97;100;45;38;39;40;39;41;40;40;40,task:5;informational:31;navigational:4;commercial:49;transactional:11
Liquidificadores Arno Clic Lav,16,814,63;92;92;84;78;83;100;79;74;76;82;83,task:7;informational:44;navigational:4;commercial:33;transactional:12
Liquidificadores Walita/Philips,24,1306,51;61;67;54;63;64;64;100;64;64;100;74,task:2;informational:52;navigational:11;commercial:17;transactional:18
Liquidificadores Cadence e Acessórios,16,1201,88;100;100;98;67;72;72;83;72;71;71;71,task:2;informational:39;navigational:27;commercial:22;transactional:10
Liquidificadores Industriais 10L,15,602,49;60;58;57;70;74;53;62;56;55;92;100,task:3;informational:40;navigational:1;commercial:27;transactional:29
Vitamix: Liquidificadores e Blenders,17,1282,87;96;100;98;95;93;94;61;71;71;73;75,task:2;informational:42;navigational:15;commercial:32;transactional:9
Liquidificador Kitchenaid Diamond,15,608,6;23;34;28;27;26;32;51;92;100;28;73,task:7;informational:37;navigational:18;commercial:28;transactional:10
Liquidificadores Black & Decker,19,1354,71;98;97;94;85;91;91;98;100;96;88;87,task:3;informational:55;navigational:11;commercial:21;transactional:10
Kits de Liquidificador com Airfryer,16,450,33;64;74;41;60;62;76;100;55;66;58;59,task:5;informational:29;navigational:1;commercial:51;transactional:14
Liquidificadores Oster,61,30723,57;59;63;74;76;76;76;100;100;100;100;100,task:2;informational:45;navigational:11;commercial:19;transactional:23
Liquidificadores Skymsen,16,841,60;93;100;84;81;86;92;91;95;83;83;83,task:4;informational:33;navigational:18;commercial:18;transactional:27
Liquidificadores Oster e MyBlend,19,2774,60;87;90;88;85;89;90;97;100;100;100;99,task:7;informational:50;navigational:6;commercial:20;transactional:17
Liquidificadores industriais 8 litros,17,515,28;63;69;45;47;65;56;57;41;100;93;97,task:3;informational:45;navigational:1;commercial:38;transactional:13
"Liquidificadores Oster 2,2L com 10 velocidades",17,439,30;32;33;53;53;47;31;100;74;35;34;49,task:2;informational:50;navigational:4;commercial:29;transactional:15
Liquidificadores Mondial 1000W,15,992,14;29;39;40;31;23;33;62;67;100;79;80,task:3;informational:29;navigational:22;commercial:35;transactional:11
Liquidificadores e multiprocessadores Havan,16,1515,17;24;24;22;21;22;20;19;20;31;29;100,task:3;informational:38;navigational:23;commercial:18;transactional:18
Liquidificadores Casas Bahia,16,970,43;58;59;56;47;51;56;100;66;91;64;51,task:3;informational:22;navigational:44;commercial:17;transactional:14
Liquidificadores Industriais 25 Litros,16,133,26;41;43;100;85;30;33;41;39;32;33;33,task:10;informational:43;navigational:4;commercial:32;transactional:11
Liquidificadores 220V: preços e promoções,25,4136,44;62;64;76;73;76;83;100;95;93;93;92,task:5;informational:34;navigational:3;commercial:46;transactional:12
Promoções de Casa: liquidificadores e móveis,87,90737,100;100;42;46;49;49;49;52;54;54;54;54,informational:25;navigational:8;commercial:41;transactional:26
Liquidificadores industriais 6 litros,18,294,53;88;100;83;83;99;58;43;44;88;52;58,task:7;informational:28;navigational:4;commercial:36;transactional:25
Liquidificadores no Mercado Livre,15,1709,83;100;100;99;50;53;53;58;58;58;59;59,informational:15;navigational:49;commercial:9;transactional:27
Liquidificadores industriais de 2 litros,22,1793,76;90;86;83;44;47;47;100;95;99;87;88,task:7;informational:35;navigational:4;commercial:41;transactional:13
Garrafa Shaker Blender Bottle,16,791,69;94;96;93;93;100;100;90;92;92;92;91,task:10;informational:17;navigational:17;commercial:34;transactional:22
Polishop Eletroportáteis: liquidificadores e processadores,19,1285,88;99;100;49;49;52;52;91;73;59;59;58,task:2;informational:30;navigational:32;commercial:11;transactional:25
Bolos de liquidificador,33,20149,65;68;70;35;32;33;33;97;100;100;100;100,task:2;informational:80;navigational:5;commercial:10;transactional:3
Tortas de Liquidificador,158,582698,40;40;41;42;42;42;42;69;100;100;100;100,task:4;informational:79;navigational:6;commercial:7;transactional:4
"Conjunto liquidificador, batedeira e sanduicheira",19,671,71;100;100;90;83;88;97;76;78;80;79;78,task:5;informational:34;navigational:6;commercial:41;transactional:14
Misturadores elétricos,16,263,22;54;65;48;55;50;39;100;99;30;30;30,task:7;informational:46;navigational:4;commercial:29;transactional:14
Liquidificadores Philips Walita RI2240/RI2242,17,409,74;100;100;94;83;89;87;90;86;87;92;84,informational:47;navigational:21;commercial:23;transactional:9
Power Mix e Liquidificadores Arno,18,4185,57;81;85;84;87;88;89;91;93;92;100;100,task:3;informational:34;navigational:29;commercial:15;transactional:19
Juicers e Espremedores,16,108,15;15;16;13;23;29;29;100;79;31;28;24,task:3;informational:61;navigational:12;commercial:17;transactional:7
Canecas com Mixer Elétrico,19,837,89;100;53;58;56;59;62;64;62;65;56;55,task:2;informational:57;navigational:15;commercial:18;transactional:8
Liquidificadores Arno com jarra de vidro,20,763,59;75;77;75;81;87;90;100;98;86;87;86,task:3;informational:43;navigational:6;commercial:33;transactional:15
Liquidificadores no OLX,16,42,22;43;72;38;76;100;79;76;51;36;35;37,informational:18;navigational:49;commercial:11;transactional:22
Ninja Cozinha: Liquidificadores e Blenders,17,741,56;87;88;84;88;82;97;100;100;100;87;86,task:10;informational:42;navigational:6;commercial:30;transactional:12
Misturadores e processadores de alimentos,86,43776,31;33;33;100;48;48;48;46;46;46;46;46,task:5;informational:39;navigational:1;commercial:39;transactional:16
Misturadores e Batedores,15,213,41;69;86;53;100;52;48;47;47;82;75;72,task:7;informational:45;navigational:4;commercial:28;transactional:16
Liquidificadores Hamilton Beach,17,572,81;98;100;96;80;84;84;77;77;78;74;76,task:3;informational:44;navigational:19;commercial:23;transactional:11
Liquidificadores Philco com Copo e Jarra de Vidro,18,4393,73;94;100;97;92;94;96;93;96;95;96;96,task:3;informational:31;navigational:5;commercial:40;transactional:21
Liquidificadores Tramontina e Breville,18,1164,61;70;70;47;45;47;45;95;99;100;100;100,task:4;informational:51;navigational:3;commercial:34;transactional:8
Liquidificadores Mondial 900W,20,2558,69;77;44;67;62;64;64;78;84;90;100;99,task:2;informational:57;navigational:5;commercial:25;transactional:11
Dosadores de Drinks,18,837,76;78;78;100;81;82;78;54;45;47;47;48,task:5;informational:57;navigational:5;commercial:23;transactional:10
Ninja Eletroportáteis de Cozinha,25,11017,58;67;72;87;85;86;87;98;100;100;100;100,task:3;informational:42;navigational:14;commercial:29;transactional:12
Liquidificadores Mondial 700W/850W,17,185,36;91;100;58;34;36;87;44;46;37;39;40,task:5;informational:57;navigational:4;commercial:22;transactional:12
Liquidificadores Arno Power Max 1000W,20,2103,87;98;99;49;97;100;100;100;94;95;97;97,task:2;informational:59;navigational:7;commercial:23;transactional:9
Kits Oster de Liquidificador,16,363,12;14;16;13;13;14;14;100;92;13;31;34,task:7;informational:46;navigational:5;commercial:18;transactional:24
Liquidificadores Oster Super Chef,19,1562,53;58;63;63;37;41;40;100;74;74;91;100,task:1;informational:46;navigational:15;commercial:16;transactional:22
Vedação de Liquidificador,15,249,24;26;28;30;93;100;26;30;30;52;53;53,task:5;informational:71;navigational:2;commercial:10;transactional:12
Envasadoras de líquidos,21,2745,29;39;40;45;62;64;67;100;96;96;95;95,task:3;informational:63;navigational:4;commercial:22;transactional:8
Liquidificadores Mondial 1200W,25,3274,48;57;58;56;99;100;100;97;94;94;96;97,task:2;informational:43;navigational:6;commercial:43;transactional:6
Liquidificadores Walita Philips,52,21249,65;69;67;68;84;84;84;97;100;100;100;100,task:2;informational:40;navigational:19;commercial:24;transactional:15
Multifuncionais 9 em 1 de alimentos,20,936,63;71;73;41;50;49;49;100;47;50;39;40,task:2;informational:54;navigational:9;commercial:25;transactional:10
Liquidificadores Oster Digital e Xpert,15,171,23;30;32;27;26;66;40;25;24;100;81;26,task:7;informational:55;navigational:5;commercial:21;transactional:12
Liquidificadores Arno 700W,19,568,59;64;64;61;61;62;61;100;90;55;55;56,task:2;informational:43;navigational:15;commercial:18;transactional:22
Máquinas de Bebidas,16,143,65;85;85;92;100;85;80;86;81;65;65;65,task:3;informational:54;navigational:4;commercial:28;transactional:11
Misturadores Elétricos Compactos,18,1801,83;97;100;80;85;88;89;76;82;82;76;75,task:5;informational:38;navigational:9;commercial:33;transactional:15
Liquidificadores Arno Faciclic e Copos,17,547,81;100;100;90;83;88;87;91;93;96;94;97,task:4;informational:53;navigational:4;commercial:27;transactional:12
Lâminas e hélices para liquidificador,22,1323,54;64;65;54;70;67;67;100;100;97;97;96,task:7;informational:50;navigational:5;commercial:18;transactional:20
Misturadores de Café Elétricos,16,156,68;85;91;100;100;74;76;86;84;98;94;91,task:7;informational:46;navigational:4;commercial:29;transactional:14
Liquidificadores Walita ProBlend 6,20,292,23;30;31;29;30;31;30;27;27;100;34;30,task:3;informational:46;navigational:17;commercial:28;transactional:6
Processadores e Centrífugas de Frutas e Sucos,27,9877,13;19;23;32;99;100;100;64;65;66;64;64,task:10;informational:52;navigational:4;commercial:24;transactional:10
Motores de liquidificador Arno,16,194,60;63;64;64;100;100;100;99;62;64;63;66,task:2;informational:72;navigational:5;commercial:13;transactional:8
Processadores de Alimentos 500ml,15,687,3;10;15;5;17;14;21;34;33;100;97;88,task:14;informational:27;navigational:1;commercial:31;transactional:27
Peças de Liquidificador Mondial e Similares,19,2674,34;44;45;53;43;47;47;100;93;93;93;92,task:2;informational:46;navigational:4;commercial:28;transactional:20
Espremedores Electrolux,16,637,18;22;22;51;58;43;32;100;91;60;55;56,task:5;informational:33;navigational:29;commercial:11;transactional:22
Liquidificadores Oster 1400W,21,1269,50;63;66;61;60;61;65;88;91;100;74;75,task:5;informational:52;navigational:7;commercial:14;transactional:22
Liquidificadores Oster reversíveis,15,148,55;57;59;53;63;61;59;86;78;80;83;100,informational:50;navigational:18;commercial:18;transactional:14
Agitadores de Laboratório,21,7349,29;33;33;33;97;98;98;98;100;100;100;100,task:2;informational:44;navigational:5;commercial:35;transactional:14
Liquidificadores de Brinquedo que Funcionam,17,756,85;100;61;58;52;56;57;68;57;65;65;62,task:12;informational:70;navigational:5;commercial:9;transactional:4
Misturadores de água para chuveiro,25,2279,21;25;31;45;87;100;95;93;93;93;94;93,task:5;informational:53;navigational:4;commercial:24;transactional:14
Philco 1400W Liquidificadores,19,652,69;76;100;52;39;41;41;36;80;84;36;36,task:3;informational:55;navigational:15;commercial:13;transactional:14
Extratores de Suco,16,431,40;49;52;50;49;56;61;100;85;52;62;61,task:7;informational:53;navigational:5;commercial:22;transactional:13
Liquidificadores Mondial Easy Power 550W,24,1260,81;97;59;95;87;91;86;64;100;100;100;100,task:2;informational:55;navigational:15;commercial:16;transactional:12
Máquinas de Pipoca,27,6009,54;65;64;66;63;66;67;100;98;98;99;98,task:2;informational:54;navigational:5;commercial:25;transactional:14
Misturadores e Batedeiras,18,276,47;61;63;59;72;97;83;100;85;67;68;74,task:7;informational:54;navigational:4;commercial:31;transactional:4
Misturadores Black & Decker,23,1541,63;89;91;87;76;82;83;100;85;84;85;84,task:3;informational:50;navigational:5;commercial:21;transactional:21
Máquinas de Suco para Lanchonetes,20,1181,76;99;100;96;90;97;99;87;91;90;91;89,task:10;informational:33;navigational:1;commercial:45;transactional:11
Aparelhos 4 em 1: processadores e liquidificadores,16,163,8;10;11;13;17;17;100;17;15;14;14;15,task:1;informational:52;navigational:4;commercial:33;transactional:10
Máquinas para o lar,17,1867,15;36;38;32;50;42;45;58;81;94;90;100,task:4;informational:54;navigational:2;commercial:29;transactional:11
Liquidificadores Britânia Diamante,28,5443,87;98;100;50;55;56;57;74;72;72;72;71,task:5;informational:37;navigational:19;commercial:30;transactional:9
Máquinas de Cana e Juicers,15,127,57;84;87;78;50;53;53;100;82;37;36;35,task:3;informational:49;navigational:5;commercial:25;transactional:18
Misturadores Portáteis e Mini,31,7816,91;97;100;100;49;50;50;56;57;57;57;56,task:3;informational:53;navigational:4;commercial:27;transactional:13
Misturadores e Torneiras de Cozinha,20,4539,24;32;34;33;99;100;100;96;45;44;45;45,task:2;informational:51;navigational:1;commercial:38;transactional:8
Maquinas de drinks Bartesian,16,836,60;75;78;75;81;89;90;100;87;87;86;86,task:7;informational:46;navigational:13;commercial:24;transactional:10
cafeteiras elétricas Electrolux,25,1471,83;99;100;54;57;60;60;56;55;55;55;54,task:2;informational:23;navigational:25;commercial:13;transactional:37
Copos e Jarras de Liquidificador Philips Walita,30,4442,86;98;100;52;70;71;70;59;63;63;62;61,task:2;informational:54;navigational:15;commercial:17;transactional:12
Empadas de queijo com liquidificador,24,6589,92;98;100;49;47;48;49;69;65;65;65;64,task:8;informational:74;navigational:5;commercial:5;transactional:8
Misturadores e Processadores Electrolux 3 em 1,30,7281,89;96;100;51;63;63;63;58;59;60;60;59,task:5;informational:36;navigational:15;commercial:23;transactional:21
Misturadores para Vitaminas,19,848,33;33;25;93;100;98;100;77;93;82;82;83,task:7;informational:61;navigational:5;commercial:19;transactional:8
Misturadores Industriais,19,565,59;79;83;81;80;84;85;88;100;100;90;89,task:5;informational:59;navigational:11;commercial:20;transactional:5
Misturadores de mão,17,766,71;83;84;84;88;91;92;100;62;53;54;53,informational:50;navigational:6;commercial:35;transactional:9
Refresqueiras e Suqueiras: Máquinas de Bebidas,15,319,68;89;95;87;98;100;78;82;90;90;91;87,task:3;informational:55;navigational:5;commercial:24;transactional:13
Processadores de Alimentos com Copo de Vidro,18,920,60;94;98;95;90;93;94;91;99;99;100;100,task:10;informational:41;navigational:1;commercial:39;transactional:9
Espumadores de Leite Elétricos,17,2281,100;55;57;58;56;60;61;65;67;67;67;66,task:1;informational:53;navigational:5;commercial:25;transactional:16
Máquinas de Milk Shake,29,4966,49;57;30;40;43;44;46;100;65;65;64;64,task:5;informational:53;navigational:5;commercial:21;transactional:16
Espremedores de Limão,23,3672,41;49;26;30;38;40;40;100;34;33;34;34,task:8;informational:45;navigational:4;commercial:29;transactional:14
Philco PH900 Liquidificadores,36,9620,91;98;100;77;82;83;83;86;90;90;91;90,task:2;informational:51;navigational:15;commercial:13;transactional:19
MIXERS DE COZINHA BRASILEIROS,15,816,33;46;47;46;41;41;64;72;69;43;43;100,task:3;informational:55;navigational:5;commercial:23;transactional:14
Máquinas para Bebidas,16,159,61;76;100;88;83;90;97;94;94;90;90;90,task:10;informational:12;navigational:30;commercial:36;transactional:12
Mexedores de Café,15,592,62;89;87;83;76;91;88;83;100;99;85;84,task:13;informational:34;navigational:11;commercial:31;transactional:11
Coadores de Café e Acessórios,26,4765,77;94;100;100;91;94;95;96;97;97;97;96,task:3;informational:55;navigational:5;commercial:25;transactional:12
Eletrodomésticos Pernambucanas,17,662,25;56;56;47;30;26;24;31;44;100;33;57,task:7;informational:23;navigational:46;commercial:8;transactional:16
