name,prompts_count,volume,volume_trend,intents
Réfrigérateurs et Congélateurs,15,4691,58;36;14;12;28;26;18;39;80;100;83;93,task:2;informational:43;navigational:6;commercial:40;transactional:9
Productos y mantenimiento de refrigeradores,21,1291,28;28;19;34;40;46;45;88;100;55;49;60,task:2;informational:56;navigational:5;commercial:24;transactional:13
Home Appliances and Freezers,18,7638,41;16;15;10;13;45;29;3;6;7;88;100,task:5;informational:27;navigational:7;commercial:17;transactional:44
Ar Condicionado Portátil,19,1809,10;13;14;14;20;34;27;32;88;100;34;34,task:4;informational:49;navigational:4;commercial:35;transactional:8
Congeladores Verticales,15,4121,24;14;25;21;20;4;3;67;78;100;60;82,task:6;informational:38;navigational:6;commercial:30;transactional:20
Secadoras de Roupas no Brasil,17,4101,4;4;31;29;23;17;25;4;35;45;75;100,task:3;informational:46;navigational:4;commercial:42;transactional:5
Máquinas de Sorvete e Equipamentos para Sorveterias,16,308,13;58;41;38;82;100;74;55;10;10;11;11,task:2;informational:40;navigational:2;commercial:40;transactional:16
Climatisation et appareils électroménagers Frigidaire,16,2553,7;4;38;32;32;5;7;1;100;100;65;80,task:3;informational:49;navigational:18;commercial:12;transactional:18
Secadores de cabelo,17,1398,73;47;40;49;100;67;55;83;56;57;55;77,task:2;informational:48;navigational:7;commercial:34;transactional:9
Mini Fridge and Freezer Appliances,17,1366,94;62;68;62;54;100;63;3;71;75;42;53,task:3;informational:44;navigational:8;commercial:26;transactional:19
Neveras portátiles y mini refrigeradores,21,430,9;28;38;33;26;25;13;5;89;100;9;10,task:10;informational:41;navigational:2;commercial:27;transactional:20
Móveis e acessórios para penteadeiras,15,1971,12;8;5;4;5;80;67;34;74;94;72;100,task:10;informational:37;navigational:4;commercial:35;transactional:14
Temperatura de Refrigeradores y Congeladores,48,9529,61;48;55;58;70;56;44;69;88;100;72;85,task:8;informational:75;navigational:6;commercial:5;transactional:6
Jogo de Panelas e Panelas de Cerâmica,15,1653,26;26;26;26;22;54;47;66;61;100;83;85,task:8;informational:29;navigational:3;commercial:45;transactional:15
aventais de cozinha,16,324,53;77;64;57;57;51;14;100;74;38;25;35,task:10;informational:25;navigational:4;commercial:43;transactional:18
Gabinetes para Computadores Gamer e Mid Tower,16,624,100;77;59;53;100;79;39;30;22;29;33;62,informational:34;navigational:3;commercial:57;transactional:6
modelo mini fridge and refrigerator,15,5572,6;20;11;9;13;12;10;6;93;100;50;69,task:3;informational:42;navigational:7;commercial:40;transactional:8
Gelato Makers and Equipment,16,265,57;41;27;27;21;25;100;92;67;41;38;40,task:8;informational:52;navigational:2;commercial:32;transactional:6
Refrigeratori e componenti per RV,15,12,9;7;13;16;5;5;3;100;5;3;1;1,task:7;informational:60;navigational:5;commercial:18;transactional:10
Torneiras de Cozinha,17,160,19;29;15;17;41;38;32;87;87;100;7;8,task:7;informational:32;navigational:4;commercial:41;transactional:16
Transporte Refrigerado de Alimentos,17,336,53;99;100;72;68;61;58;31;46;46;47;46,task:2;informational:53;navigational:2;commercial:36;transactional:7
Refrigeration and Freezing Devices,17,4621,46;31;36;34;29;23;25;93;100;56;45;64,task:1;informational:71;navigational:5;commercial:18;transactional:5
Refrigeradores para bebidas y sodas,15,3726,10;20;71;73;24;20;48;2;2;2;82;100,task:7;informational:39;navigational:4;commercial:30;transactional:20
Aquecedores de Água a Gás e Elétricos,15,543,11;11;11;10;12;12;12;9;5;100;68;15,task:4;informational:34;navigational:1;commercial:47;transactional:14
Máquinas de helados y nieve,28,2776,86;81;41;30;21;22;53;100;47;46;56;59,task:2;informational:60;navigational:5;commercial:26;transactional:7
Armazenamento NAS Orico,16,699,43;61;70;89;59;75;72;71;49;77;64;100,task:3;informational:18;navigational:30;commercial:40;transactional:9
Empilhadeiras e Máquinas de Movimentação,17,68,40;39;59;49;48;19;17;17;100;99;16;17,task:2;informational:53;navigational:11;commercial:20;transactional:14
exhibidor nevera,15,303,18;16;17;51;77;79;67;61;100;52;44;36,task:10;informational:47;navigational:4;commercial:31;transactional:8
Frigidaire Wine and Beverage Coolers,24,1640,71;95;100;88;98;81;82;75;77;76;75;76,task:4;informational:22;navigational:22;commercial:36;transactional:16
Refrigeración y Electrodomésticos Sub Zero,15,1109,100;43;65;32;32;19;6;5;5;19;5;56,informational:70;navigational:11;commercial:12;transactional:7
frigidaire stove and oven,164,32657,58;58;61;69;85;86;85;90;100;100;97;99,informational:54;navigational:17;commercial:15;transactional:14
frigidaire appliances,15,5090,7;18;10;12;13;11;6;48;7;7;92;100,task:2;informational:58;navigational:28;commercial:10;transactional:2
Mixeurs Frigidaire,15,596,33;100;65;51;51;6;4;16;33;38;36;42,task:7;informational:28;navigational:17;commercial:40;transactional:8
Refrigeradores Frigidaire FRTE1622AS,15,53,78;82;79;91;100;84;82;86;84;84;79;87,task:3;informational:57;navigational:18;commercial:15;transactional:7
Maquinaria y Equipos de Hielo,32,4609,63;95;100;73;75;35;30;48;89;95;68;68,task:3;informational:50;navigational:5;commercial:24;transactional:18
Fondue e utensílios de fondue,15,1488,17;16;22;63;90;72;78;97;89;100;73;97,task:10;informational:40;navigational:8;commercial:28;transactional:14
Spanish for Refrigerator and Fridge,47,11656,99;100;38;83;57;57;57;46;80;74;73;74,task:10;informational:80;navigational:2;commercial:8
GE and Refrigerator Models,16,721,22;12;15;12;11;39;58;5;100;89;20;30,task:3;informational:51;navigational:15;commercial:18;transactional:13
Refrigeradores de puerta de cristal y vidrio,15,418,4;4;6;11;11;11;67;100;94;3;36;27,task:1;informational:48;navigational:4;commercial:36;transactional:11
Quentão e Vinho Quente,19,633,56;68;68;68;58;58;58;100;100;100;100;100,task:5;informational:78;navigational:6;commercial:7;transactional:4
Barzinhos para Sala e Casa,15,2794,5;6;8;6;6;7;34;46;45;62;49;100,task:8;informational:47;navigational:4;commercial:32;transactional:9
heladas y bares,15,480,100;85;62;58;58;42;51;7;24;20;17;20,task:3;informational:42;navigational:10;commercial:8;transactional:37
Kühlschränke und Gefrierfächer,16,589,50;25;28;27;34;24;35;100;88;72;52;14,task:3;informational:42;navigational:7;commercial:37;transactional:11
Réfrigérateurs Frigidaire,15,2260,100;37;56;48;48;43;33;9;14;97;75;86,task:3;informational:43;navigational:24;commercial:26;transactional:4
Relevadores para Refrigeradores,16,1497,8;6;46;42;39;30;44;100;13;16;32;54,task:5;informational:43;navigational:4;commercial:31;transactional:17
Áreas Gourmet e Lazer,16,190,86;88;65;65;87;87;88;88;86;86;92;100,task:3;informational:65;navigational:15;commercial:9;transactional:8
Móveis e Painéis para TV e Sala de Estar,15,5403,6;6;6;40;39;28;22;15;29;27;24;100,task:8;informational:32;navigational:4;commercial:28;transactional:28
Refrigerators and Freezers,23,4262,75;35;41;43;41;38;44;17;84;100;81;90,task:5;informational:40;navigational:4;commercial:37;transactional:14
Aquecedores Elétricos e Portáteis,17,1200,17;15;17;100;100;97;14;68;83;74;67;62,task:3;informational:36;navigational:4;commercial:37;transactional:20
Recipientes Stanley e Acessórios Térmicos,16,316,57;42;35;31;100;85;67;89;92;81;86;26,informational:60;navigational:12;commercial:20;transactional:8
Congélateurs Coffre,15,6535,16;10;54;52;21;38;25;51;3;4;100;96,task:5;informational:35;navigational:15;commercial:37;transactional:8
Buzdolabı ve Fiyatları,21,4164,45;46;44;35;35;31;42;29;23;100;75;97,task:2;informational:39;navigational:5;commercial:47;transactional:7
Máquinas de fazer salgados e coxinhas,16,96,15;23;17;17;68;100;81;79;63;59;46;17,task:3;informational:46;navigational:6;commercial:25;transactional:20
helados y gelados,16,822,100;100;100;80;86;84;78;80;83;77;77;78,task:2;informational:75;navigational:5;commercial:13;transactional:5
