name,prompts_count,volume,volume_trend,intents
Válvulas de Ar Condicionado e Serviço,26,3514,38;22;35;46;78;79;79;96;100;100;100;100,task:2;informational:62;navigational:5;commercial:16;transactional:15
Contratos de Manutenção de Ar Condicionado,18,792,99;100;100;93;58;58;58;74;90;90;90;90,task:8;informational:70;navigational:2;commercial:18;transactional:2
Climatizadores em Goiânia,15,47,8;26;37;14;15;14;39;100;86;9;9;9,task:7;informational:18;navigational:10;commercial:50;transactional:15
Tubulação de Ar Condicionado e Ar Comprimido,26,8774,35;18;23;32;99;100;100;92;91;91;91;91,task:2;informational:69;navigational:5;commercial:20;transactional:4
Refrigeração e Ar Condicionado em Cabo Frio,15,247,36;38;40;37;36;78;63;57;49;100;96;96,task:3;informational:24;navigational:29;commercial:35;transactional:9
Assistência Técnica de Ar Condicionado,15,194,70;100;98;90;88;85;80;70;91;71;80;85,task:3;informational:42;navigational:18;commercial:24;transactional:13
Ar condicionado com cheiro ruim,43,5057,69;69;69;79;90;91;91;99;96;96;99;100,task:12;informational:71;navigational:5;commercial:8;transactional:4
Ventiladores Arge,22,7189,58;94;95;96;54;56;56;86;89;89;95;100,task:2;informational:61;navigational:15;commercial:18;transactional:4
Ar Condicionado 127V 9000 BTU,18,1409,60;89;92;89;75;79;82;81;94;100;90;90,task:3;informational:51;navigational:4;commercial:33;transactional:9
Totaline: Ar Condicionado e Refrigeração,22,2930,58;69;70;66;84;89;90;100;84;83;86;85,task:2;informational:47;navigational:31;commercial:12;transactional:8
Instalação de Ar Condicionado Automotivo - Preços,35,10829,79;70;71;83;90;91;91;87;100;100;100;100,task:2;informational:71;navigational:2;commercial:13;transactional:12
Tampas para Ar Condicionado e Caixas de Passagem,18,573,55;81;87;82;77;81;79;85;93;100;78;77,task:10;informational:34;navigational:4;commercial:40;transactional:12
Aquecedores e Aquecimento,15,1972,100;88;99;98;97;100;93;89;77;77;94;92,task:5;informational:51;navigational:15;commercial:18;transactional:11
Ar condicionado e geradores Stonni,15,139,14;34;42;26;29;34;23;100;60;19;19;19,task:3;informational:46;navigational:31;commercial:16;transactional:4
Qualiterme Refrigeração e Serviços,15,59,89;92;97;97;97;97;97;99;99;99;100;99,task:2;informational:18;navigational:67;commercial:7;transactional:6
Ar Condicionado em Paulínia,15,92,6;9;12;35;35;19;29;100;67;13;12;13,task:3;informational:35;navigational:17;commercial:40;transactional:5
BTU e Ar Condicionado,74,36472,86;87;91;89;95;96;96;98;100;100;100;100,task:3;informational:69;navigational:5;commercial:18;transactional:5
Hélices para Ar Condicionado,19,1368,26;32;32;36;34;34;33;94;64;100;87;94,task:2;informational:62;navigational:5;commercial:23;transactional:8
Ar Condicionado 7500 BTU - Ponto Frio (PT),15,134,7;15;20;22;40;31;21;35;27;100;33;43,task:7;informational:32;navigational:18;commercial:18;transactional:25
União Refrigeração,15,54,22;25;30;29;37;27;27;28;100;97;41;26,task:1;informational:34;navigational:35;commercial:28;transactional:2
Ar Condicionado 28.000 BTU,20,2977,25;44;47;55;40;40;41;77;78;78;100;100,task:1;informational:53;navigational:4;commercial:32;transactional:10
Ar Condicionado Bertioga,15,76,8;10;11;10;11;10;10;100;61;67;54;13,informational:30;navigational:23;commercial:43;transactional:4
Ar condicionados 8000 BTU no Brasil,18,3486,41;48;51;48;58;64;61;94;94;92;93;100,task:3;informational:46;navigational:6;commercial:32;transactional:13
Refrigeração e Ar Condicionado em Blumenau,15,598,23;69;76;69;71;58;68;37;85;100;62;80,task:3;informational:42;navigational:3;commercial:47;transactional:5
Ar Condicionado no Paraguai,25,2332,81;97;98;63;84;87;89;91;100;100;100;99,task:5;informational:46;navigational:3;commercial:32;transactional:14
Refrigeração JC,15,211,75;93;91;96;91;100;97;98;99;98;99;98,task:7;informational:18;navigational:27;commercial:40;transactional:8
Ar condicionados Springer e Midea no Brasil,28,19013,39;44;45;73;100;100;100;98;99;99;99;99,task:3;informational:38;navigational:9;commercial:29;transactional:21
Friotec Refrigeração e Climatização,17,398,61;91;93;88;74;80;79;100;97;100;77;76,task:3;informational:25;navigational:42;commercial:23;transactional:7
Ar Condicionado Portátil LG,30,7326,86;98;100;52;50;51;51;78;93;93;93;92,task:2;informational:55;navigational:13;commercial:22;transactional:8
Uniar: Ar Condicionado e Eletroeletrônicos,17,1004,46;54;55;91;90;90;100;98;65;75;53;74,task:2;informational:16;navigational:34;commercial:43;transactional:5
Cortinas de ar Springer,15,357,58;76;77;93;93;82;74;74;93;100;93;99,task:2;informational:52;navigational:9;commercial:33;transactional:4
Climatização e Refrigeração em Curitiba,15,698,84;99;100;55;54;60;55;49;56;57;53;52,task:4;informational:30;navigational:8;commercial:52;transactional:6
Fluidos Refrigerantes,18,641,42;58;55;52;99;100;100;43;52;52;52;52,task:1;informational:73;navigational:5;commercial:15;transactional:6
Refrigeração Vieira,15,81,78;91;99;100;96;93;95;85;97;97;97;97,task:7;informational:37;navigational:17;commercial:31;transactional:8
Clima Center Brasil,15,72,16;18;19;100;99;67;61;17;17;17;17;17,informational:38;navigational:17;commercial:40;transactional:5
Ar condicionado Silvermaxi,17,1017,13;80;86;69;40;55;48;82;59;100;93;96,task:5;informational:57;navigational:24;commercial:10;transactional:4
Ar Condicionado MS Campo Grande,15,407,44;100;100;99;97;84;82;59;63;60;74;100,task:10;informational:35;navigational:10;commercial:40;transactional:5
Ar Condicionado em Sete Lagoas,16,1143,20;51;56;48;48;33;21;100;77;68;92;89,task:2;informational:53;navigational:14;commercial:27;transactional:4
Ar Condicionado VW Gol,19,1080,65;72;73;94;94;100;99;80;100;100;100;99,task:3;informational:67;navigational:5;commercial:12;transactional:13
Ar condicionado portátil 7000–7500 BTU,17,362,28;48;51;65;71;84;71;100;99;59;58;75,task:1;informational:50;navigational:1;commercial:43;transactional:5
Caixas Evaporadoras e Unidades de Ar Condicionado,18,377,57;66;67;65;65;87;90;69;69;100;100;97,task:7;informational:61;navigational:5;commercial:20;transactional:7
Philco climatizadores e umidificadores,31,12195,44;52;53;66;65;66;66;100;94;94;93;93,informational:36;navigational:32;commercial:21;transactional:11
Máquinas de refrigeração,17,4554,14;19;20;20;20;20;20;98;98;98;100;100,task:2;informational:70;navigational:5;commercial:17;transactional:6
Refrigeração e Eletroeletrônicos,16,132,31;35;34;29;29;32;32;26;26;100;28;27,task:5;informational:45;navigational:4;commercial:37;transactional:9
Ar Condicionado Portátil Carrefour,15,502,9;63;69;61;58;54;35;100;83;80;66;81,task:3;informational:11;navigational:39;commercial:14;transactional:33
Desinfetantes para Ar Condicionado,18,3291,26;28;28;20;99;100;100;70;94;96;95;95,task:2;informational:51;navigational:14;commercial:14;transactional:19
