name,prompts_count,volume,volume_trend,intents
Aspiradores Electrolux: pó e água,49,7307,72;81;88;86;89;92;92;94;100;100;100;99,task:2;informational:57;navigational:3;commercial:21;transactional:17
Aspiradores Robô Mondial,23,2355,88;99;100;98;46;49;49;44;55;55;56;56,task:2;informational:46;navigational:23;commercial:18;transactional:11
Aluguel de Aspiradores de Pó,15,74,52;87;100;68;67;66;61;64;74;72;72;72,task:3;informational:22;navigational:8;commercial:32;transactional:35
Escovas para aspiradores de pó,18,144,80;94;92;96;96;91;87;82;84;100;98;99,task:13;informational:50;navigational:1;commercial:30;transactional:6
Aspiradores WAP Power Speed,39,9326,87;97;100;100;49;50;50;87;89;88;88;88,task:5;informational:39;navigational:26;commercial:19;transactional:11
Acessórios de aspirador de pó,15,477,51;99;100;72;67;72;74;86;96;75;81;71,task:3;informational:48;navigational:13;commercial:23;transactional:13
Aspiradores de Piscina,20,2455,35;50;52;71;76;80;79;94;100;99;100;100,task:2;informational:47;navigational:5;commercial:23;transactional:23
Aspiradores de Pó Makita,20,2071,71;93;95;90;86;93;98;92;100;100;94;93,task:7;informational:32;navigational:11;commercial:25;transactional:25
Aspiradores Dreame,17,502,56;93;100;83;72;78;75;79;87;76;76;84,task:3;informational:41;navigational:15;commercial:30;transactional:11
Aspiradores de Pó 2 em 1,19,522,67;87;85;78;87;94;93;95;97;99;100;100,task:7;informational:43;navigational:1;commercial:34;transactional:15
Ropo: Robôs Aspiradores,24,4062,76;90;92;47;43;45;45;93;100;100;100;100,task:5;informational:61;navigational:9;commercial:14;transactional:11
Aspiradores robô Obabox,15,270,73;87;85;38;39;35;35;34;35;100;94;29,task:2;informational:47;navigational:7;commercial:22;transactional:22
Aspiradores Electrolux Sonic,16,237,39;41;42;42;39;67;56;100;89;100;88;88,task:3;informational:39;navigational:18;commercial:30;transactional:10
Robôs de limpeza doméstica,20,1707,31;41;35;38;69;70;70;100;79;80;79;78,task:2;informational:60;navigational:5;commercial:23;transactional:10
Aspiradores para Piscinas,20,1320,14;14;15;25;49;52;47;82;77;83;82;100,task:2;informational:60;navigational:5;commercial:20;transactional:13
Aspiradores e Extratoras Domésticos,16,526,44;89;100;84;79;51;56;88;60;70;57;71,task:7;informational:42;navigational:4;commercial:32;transactional:15
Aspiradores robô Kärcher,19,393,64;100;93;76;77;73;72;79;79;90;89;92,task:7;informational:36;navigational:11;commercial:24;transactional:22
Aspiradores Shark,15,505,58;90;89;91;96;100;100;81;87;87;96;97,task:3;informational:40;navigational:13;commercial:28;transactional:16
Aspiradores Robô WAP,64,16978,68;74;77;45;100;100;100;97;91;91;91;90,task:2;informational:53;navigational:11;commercial:21;transactional:13
Aspiradores Magazine Luiza,17,294,28;87;100;68;33;34;32;36;36;35;33;32,task:7;informational:17;navigational:26;commercial:25;transactional:25
Robôs Aspiradores com Controle por Voz,15,1965,37;38;39;38;95;96;100;84;85;89;88;85,task:5;informational:48;navigational:5;commercial:35;transactional:7
Extratoras de sujeira e higienizadoras,23,3765,16;21;32;50;62;62;64;68;88;88;100;100,task:7;informational:41;navigational:2;commercial:43;transactional:7
Aspiradores de pó para unhas,24,1561,76;94;97;90;88;95;97;100;91;91;84;83,task:5;informational:43;navigational:9;commercial:26;transactional:17
Aspiradores Antigos,16,123,25;64;75;38;35;75;88;100;87;60;51;51,task:10;informational:56;navigational:4;commercial:26;transactional:4
Aspiradores Black & Decker,19,2675,87;100;100;98;89;91;92;89;52;56;52;52,task:1;informational:46;navigational:15;commercial:26;transactional:12
Poeira e Limpeza Doméstica,19,579,63;71;66;85;64;65;99;100;94;70;70;70,task:2;informational:75;navigational:2;commercial:13;transactional:8
Robo Aspiradores Makita,16,138,20;65;68;33;52;57;50;96;100;23;23;24,task:3;informational:47;navigational:5;commercial:25;transactional:20
Sopradores de ar portáteis,26,4083,59;83;89;90;93;95;96;96;100;100;98;97,task:3;informational:51;navigational:5;commercial:27;transactional:14
Aspiradores de pó na Amazon,16,347,45;97;100;58;57;57;65;58;58;57;55;66,task:3;informational:15;navigational:45;commercial:18;transactional:19
Aspiradores de pó Brastemp,17,616,22;50;65;57;44;36;31;45;35;96;84;100,task:10;informational:40;navigational:11;commercial:25;transactional:14
Aspiradores de Pó 1500W,17,400,34;57;65;69;72;51;43;100;81;59;60;86,task:1;informational:57;navigational:4;commercial:28;transactional:10
Aspiradores Electrolux AQP20,20,819,48;83;100;58;62;46;45;46;43;55;73;76,task:2;informational:54;navigational:15;commercial:17;transactional:12
Aspiradores de Pelo para Pets,28,2587,52;62;41;54;76;78;79;100;91;91;90;89,task:4;informational:49;navigational:1;commercial:39;transactional:7
Aspiradores de pó com bateria,19,914,59;86;87;82;80;86;87;100;88;96;88;96,task:10;informational:37;navigational:4;commercial:41;transactional:8
Aspiradores Electrolux Go,16,674,27;51;63;54;54;47;57;100;74;68;67;69,task:2;informational:51;navigational:25;commercial:16;transactional:6
Robôs aspiradores Jets,15,318,11;22;30;20;14;14;13;10;75;100;29;30,task:3;informational:44;navigational:13;commercial:26;transactional:14
Aspiradores Dyson V15,18,302,41;46;48;67;75;80;100;65;65;66;64;72,task:3;informational:47;navigational:12;commercial:18;transactional:20
Aspiradores Electrolux Neo,19,634,66;100;77;76;34;36;36;46;39;40;40;40,task:4;informational:45;navigational:10;commercial:30;transactional:11
