name,prompts_count,volume,volume_trend,intents
Máquinas para o lar,17,1867,15;36;38;32;50;42;45;58;81;94;90;100,task:4;informational:54;navigational:2;commercial:29;transactional:11
Outdoor Whirlpool,15,118,26;33;36;33;44;39;33;100;88;63;64;64,task:2;informational:52;navigational:4;commercial:33;transactional:9
Maquinas de Salgados Interlaser e Jetfood,17,1151,44;56;56;75;97;100;94;71;92;92;95;95,task:5;informational:26;navigational:25;commercial:16;transactional:28
Eletrodomésticos e outlets no Brasil,74,65997,22;23;25;44;81;81;81;100;87;87;87;87,task:2;informational:39;navigational:15;commercial:36;transactional:8
Churrasqueiras a gás e híbridas,18,211,100;42;45;78;76;77;85;77;78;73;74;79,task:8;informational:32;commercial:55;transactional:5
Churrasqueiras a gás e elétricas,15,168,16;40;52;30;26;26;24;92;100;19;18;19,task:1;informational:55;navigational:5;commercial:21;transactional:18
Heat Recovery Ventilators,16,8127,94;97;100;100;18;18;18;83;84;84;84;84,task:6;informational:53;navigational:4;commercial:32;transactional:5
Philips Coffee Machines,15,51,27;31;43;31;31;31;100;84;74;35;37;35,informational:67;navigational:5;commercial:15;transactional:13
Kuhn Rikon Swiss Kitchenware,15,1511,62;79;80;77;74;76;77;100;100;97;97;95,task:2;informational:49;navigational:23;commercial:17;transactional:9
Cooktops e Fogões de Indução,268,417452,19;19;19;85;98;98;98;100;82;82;82;82,task:2;informational:49;navigational:4;commercial:37;transactional:8
Tostadeiras de Pão,22,1354,84;100;100;99;54;56;56;74;74;74;74;74,task:5;informational:50;navigational:4;commercial:32;transactional:9
Processadores de Legumes Elétricos,17,1049,57;72;74;88;100;100;96;64;70;74;69;70,task:5;informational:54;navigational:2;commercial:26;transactional:13
Grupo Grand Chef Eletrodomésticos,18,554,63;90;92;87;81;85;72;100;92;96;91;97,task:3;informational:42;navigational:29;commercial:11;transactional:15
Grilling Burgers,18,2477,96;100;100;90;66;67;67;79;79;79;79;79,task:5;informational:70;navigational:8;commercial:10;transactional:7
Frigideiras 28 cm,17,447,72;99;98;95;89;88;90;100;91;92;99;97,task:7;informational:45;navigational:1;commercial:30;transactional:17
Fogões Elétricos,94,39378,21;21;22;96;100;100;100;53;30;30;30;30,task:8;informational:45;navigational:4;commercial:25;transactional:18
Eletrodomésticos no Brasil,16,531,4;13;23;20;19;30;81;100;67;48;47;47,task:3;informational:56;navigational:4;commercial:29;transactional:8
Panelas elétricas Arno,18,1284,42;61;68;62;59;60;59;77;74;100;74;82,task:5;informational:43;navigational:6;commercial:34;transactional:12
Hand Warmers,22,2646,40;45;47;30;99;100;100;71;68;68;69;69,task:3;informational:49;navigational:5;commercial:33;transactional:10
Fried Rice Recipes,21,2332,61;67;67;49;99;100;100;93;98;98;98;98,task:12;informational:76;navigational:4;commercial:3;transactional:5
frigideiras de cerâmica,16,150,58;68;77;72;71;99;100;71;71;64;65;66,task:3;informational:45;navigational:4;commercial:37;transactional:11
Assadeiras para Biscoitos,20,573,79;100;79;72;73;76;62;99;99;95;95;96,task:2;informational:51;navigational:2;commercial:35;transactional:10
Pão de queijo na airfryer,174,91691,14;15;17;38;65;65;65;87;100;100;100;100,task:5;informational:79;navigational:5;commercial:9;transactional:2
Silicone Kitchen Utensil Sets,15,170,46;50;66;58;52;49;70;96;79;100;91;100,task:10;informational:45;navigational:4;commercial:30;transactional:11
AM4 CPU Coolers and Air Coolers,32,12428,90;97;100;51;86;87;87;100;100;100;99;99,task:2;informational:59;navigational:4;commercial:29;transactional:6
Desfiadores de Frango e Carne,21,6901,37;42;41;51;99;100;100;94;90;90;91;91,task:10;informational:47;navigational:4;commercial:28;transactional:11
